evidence_link_id,joomla_article_id,article_title,source_url,normalized_url,storage_provider,storage_scope,probable_owner,access_status,file_name,file_type,category,issue,indicator_codes,mapping_status,confidence,occurrence_count,duplicate_group,ownership_risk,migration_priority,recommended_destination,last_checked_at,notes,pilot_bucket,pilot_reason
SP-0045,37,1.5 ข้อมูลก๊าซเรือนกระจก,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBIROYaTmqSSqXAkTMn_cM0AWYIFrc6CV7fSWq4X0fQYeU?e=Mt967o,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBIROYaTmqSSqXAkTMn_cM0AWYIFrc6CV7fSWq4X0fQYeU,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQBIROYaTmqS,binary_document,1,1.5,1.5.1|1.5.2|1.5.3,probable,medium,1,,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 1.5,ghg_2569,ghg_2569
SP-0046,37,1.5 ข้อมูลก๊าซเรือนกระจก,https://maejo365-my.sharepoint.com/:x:/g/personal/prinya_mju_ac_th/IQAYqO7zIhToQoY0jg0XMQ2KAVvO-4NpnWizfw0rCoNCJ6g?e=kV5Vzw,https://maejo365-my.sharepoint.com/:x:/g/personal/prinya_mju_ac_th/IQAYqO7zIhToQoY0jg0XMQ2KAVvO-4NpnWizfw0rCoNCJ6g,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,- แบบฟอร์ม 1.5.1(1) ปี68,spreadsheet,1,1.5,1.5.1|1.5.2,probable,medium,1,,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,"Anchor text ""- แบบฟอร์ม 1.5.1(1) ปี68"" matches indicator pattern",ghg_2569,ghg_2569
SP-0047,37,1.5 ข้อมูลก๊าซเรือนกระจก,https://maejo365-my.sharepoint.com/:x:/g/personal/prinya_mju_ac_th/IQAh-Jq8-GxaR4R-x2BeYZKXAakh7ZBTFxTvJ2lGpPOkKNc?e=HudkSC,https://maejo365-my.sharepoint.com/:x:/g/personal/prinya_mju_ac_th/IQAh-Jq8-GxaR4R-x2BeYZKXAakh7ZBTFxTvJ2lGpPOkKNc,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,- แบบฟอร์ม 1.5.1(2) ปี67-66,spreadsheet,1,1.5,1.5.1|1.5.2,probable,medium,1,,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,"Anchor text ""- แบบฟอร์ม 1.5.1(2) ปี67-66"" matches indicator pattern",ghg_2569,ghg_2569
SP-0001,52,5.4 ความน่าอยู่,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDLF_P7NaHLS6EHBk434hRtAQe_SVlbrKfNDqxjZZZEw_M?e=BKmQpp,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDLF_P7NaHLS6EHBk434hRtAQe_SVlbrKfNDqxjZZZEw_M,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQDLF_P7NaHL,binary_document,5,5.4,5.4.1,probable,medium,4,DUP-d529e3,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 5.4,owner_risk,owner_risk
SP-0005,53,5.5 การเตรียมพร้อมต่อสภาวะฉุกเฉิน,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCkJo5Yc5QDTL4eRhUI5cEnAbG-L1L-fHHI8QOUwc1qYVA?e=8Nn6cI,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCkJo5Yc5QDTL4eRhUI5cEnAbG-L1L-fHHI8QOUwc1qYVA,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQCkJo5Yc5QD,binary_document,5,5.5,5.5.1,probable,medium,3,DUP-d3f3be,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 5.5,owner_risk,owner_risk
SP-0008,36,1.4 กฎหมายและข้อกำหนดอื่นๆ ที่เกี่ยวข้อง,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQC8vbg-VrrEQqFsfZkBOXEcATXmUfG7BHyd0bbLNSAR3Ps?e=x5o7BE,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQC8vbg-VrrEQqFsfZkBOXEcATXmUfG7BHyd0bbLNSAR3Ps,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQC8vbg-VrrE,binary_document,1,1.4,1.4.1|1.4.2,probable,medium,2,DUP-ad2061,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 1.4,owner_risk,owner_risk
SP-0024,45,3.3 การใช้ทรัพยากรอื่นๆ,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBKXnnuV01OR41c6vAamPXrATW141dVbEih8tuQP725MEo?e=geHfKh,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBKXnnuV01OR41c6vAamPXrATW141dVbEih8tuQP725MEo,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,AUTHENTICATED_REACHABLE,sharepoint_item_IQBKXnnuV01O,binary_document,3,3.3,3.3.1|3.3.2|3.3.3|3.3.4|3.3.5,probable,medium,2,DUP-0f3745,high,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 3.3,auth_reachable,auth_reachable
SP-0026,45,3.3 การใช้ทรัพยากรอื่นๆ,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCo1Ls9MkuNSI0yScB3Rbz3AUWDkcb8xD6qUxPMu2syl98?e=V7OdG7,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCo1Ls9MkuNSI0yScB3Rbz3AUWDkcb8xD6qUxPMu2syl98,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,AUTHENTICATED_REACHABLE,sharepoint_item_IQCo1Ls9MkuN,binary_document,3,3.3,3.3.1|3.3.2|3.3.3|3.3.4|3.3.5,probable,medium,2,DUP-a9a95c,high,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 3.3,auth_reachable,auth_reachable
SP-0036,33,1.1 การกำหนดแนวทางการดำเนินงานสำนักงานสีเขียว,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQC4RtE-sdJ3S5lTho_5K7LZAXPOPkrh0DaYiJjvTpla_Vc?e=1IwmdT,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQC4RtE-sdJ3S5lTho_5K7LZAXPOPkrh0DaYiJjvTpla_Vc,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,AUTHENTICATED_REACHABLE,sharepoint_item_IQC4RtE-sdJ3,binary_document,1,1.1,1.1.1|1.1.2|1.1.3|1.1.4,probable,medium,1,,high,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 1.1,auth_reachable,auth_reachable
SP-0034,30,หมวดที่ 5 — สภาพแวดล้อมและความปลอดภัย,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBzUqgnIy0bR4bhxynMCkw3AaJ_NJHSlkUuhj_qU2SqP08?e=4i43rR,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBzUqgnIy0bR4bhxynMCkw3AaJ_NJHSlkUuhj_qU2SqP08,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,สภาพแวดล้อมและความปลอดภัย,binary_document,5,,,needs_review,low,1,,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Category header page — indicator mapping requires link-level context,unresolved_mapping,unresolved_mapping
