normalized_url,source_url,access_status,http_status,authentication_required,resolved_provider,final_url_domain,file_metadata_available,storage_scope,probable_owner,occurrence_count,source_article_ids,last_checked_at
https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAUiuq5ih1EQ4TdIVKlRy1NAZfCvmD9L1rVyGrRNNHGFoA,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAUiuq5ih1EQ4TdIVKlRy1NAZfCvmD9L1rVyGrRNNHGFoA?e=RtsCxa,AUTHENTICATED_REACHABLE,200,likely_yes,microsoft_sharepoint,maejo365-my.sharepoint.com,no,personal_onedrive,prinya_mju_ac_th,1,44,2026-07-20T13:49:13.092364+07:00
https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAVdn84mF67Tr1B667IJh3cAYE-rgIUZ9TBGEI_BePEo2c,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAVdn84mF67Tr1B667IJh3cAYE-rgIUZ9TBGEI_BePEo2c?e=Vr1h52,ACCESS_DENIED,403,yes,microsoft_sharepoint,maejo365-my.sharepoint.com,no,personal_onedrive,prinya_mju_ac_th,1,55,2026-07-20T13:49:13.092364+07:00
https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAXY8DDqNxLQaTTXff_pPQyARsqUVXbSs97F7VN6w-y1N8,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAXY8DDqNxLQaTTXff_pPQyARsqUVXbSs97F7VN6w-y1N8?e=ejZj6B,ACCESS_DENIED,403,yes,microsoft_sharepoint,maejo365-my.sharepoint.com,no,personal_onedrive,prinya_mju_ac_th,1,44,2026-07-20T13:49:13.092364+07:00
https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAXyOgl4u7pQqQM81Y6cgi3AfbnRQ2chCtwb_Zyp4g6f14,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAXyOgl4u7pQqQM81Y6cgi3AfbnRQ2chCtwb_Zyp4g6f14?e=jA8y9S,AUTHENTICATED_REACHABLE,200,likely_yes,microsoft_sharepoint,maejo365-my.sharepoint.com,no,personal_onedrive,prinya_mju_ac_th,1,35,2026-07-20T13:49:13.092364+07:00
https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAY7H4wPqgjS5FkYj_ckHcQAcC8J_n3s68go4t_SqukI0w,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAY7H4wPqgjS5FkYj_ckHcQAcC8J_n3s68go4t_SqukI0w?e=CthjM1,ACCESS_DENIED,403,yes,microsoft_sharepoint,maejo365-my.sharepoint.com,no,personal_onedrive,prinya_mju_ac_th,1,43,2026-07-20T13:49:13.092364+07:00
https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAYZKbt8DZnR7T6LO8vJXm8Af70XBdqnp3vec2aIgrFP_w,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAYZKbt8DZnR7T6LO8vJXm8Af70XBdqnp3vec2aIgrFP_w?e=TQ9u2G,ACCESS_DENIED,403,yes,microsoft_sharepoint,maejo365-my.sharepoint.com,no,personal_onedrive,prinya_mju_ac_th,2,53,2026-07-20T13:49:13.092364+07:00
https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQA_phQbCv3cT5ETq7o2n0vuAfOfO5v5YHTR5CcV0frbMT4,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQA_phQbCv3cT5ETq7o2n0vuAfOfO5v5YHTR5CcV0frbMT4?e=eBiedt,ACCESS_DENIED,403,yes,microsoft_sharepoint,maejo365-my.sharepoint.com,no,personal_onedrive,prinya_mju_ac_th,1,38,2026-07-20T13:49:13.092364+07:00
https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAaYzsgW6avT5ZrHZy_duLkAUe2u0BzibuvDn49LFHiWDM,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAaYzsgW6avT5ZrHZy_duLkAUe2u0BzibuvDn49LFHiWDM?e=Z6Dj0b,ACCESS_DENIED,403,yes,microsoft_sharepoint,maejo365-my.sharepoint.com,no,personal_onedrive,prinya_mju_ac_th,1,49,2026-07-20T13:49:13.092364+07:00
https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAbC_A0pT0RQox0lwZmTznLAbiY5J4Ikb20JGRSHKKLCfs,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAbC_A0pT0RQox0lwZmTznLAbiY5J4Ikb20JGRSHKKLCfs?e=ipyoxN,ACCESS_DENIED,403,yes,microsoft_sharepoint,maejo365-my.sharepoint.com,no,personal_onedrive,prinya_mju_ac_th,1,52,2026-07-20T13:49:13.092364+07:00
https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAbc34Wlp-IT6uFLmpgI6RlAcAzMJ0gGy5bjLPriDri2UM,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAbc34Wlp-IT6uFLmpgI6RlAcAzMJ0gGy5bjLPriDri2UM?e=QczbYv,ACCESS_DENIED,403,yes,microsoft_sharepoint,maejo365-my.sharepoint.com,no,personal_onedrive,prinya_mju_ac_th,1,52,2026-07-20T13:49:13.092364+07:00
