evidence_link_id,sharepoint_item_id,source_url,access_status,http_status,failure_reason,last_checked_at
SP-0008,IQC8vbg-VrrEQqFsfZkBOXEcATXmUfG7BHyd0bbLNSAR3Ps,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQC8vbg-VrrEQqFsfZkBOXEcATXmUfG7BHyd0bbLNSAR3Ps?e=x5o7BE,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0024,IQBKXnnuV01OR41c6vAamPXrATW141dVbEih8tuQP725MEo,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBKXnnuV01OR41c6vAamPXrATW141dVbEih8tuQP725MEo?e=geHfKh,LOGIN_PAGE,200,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0026,IQCo1Ls9MkuNSI0yScB3Rbz3AUWDkcb8xD6qUxPMu2syl98,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCo1Ls9MkuNSI0yScB3Rbz3AUWDkcb8xD6qUxPMu2syl98?e=V7OdG7,LOGIN_PAGE,200,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0036,IQC4RtE-sdJ3S5lTho_5K7LZAXPOPkrh0DaYiJjvTpla_Vc,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQC4RtE-sdJ3S5lTho_5K7LZAXPOPkrh0DaYiJjvTpla_Vc?e=1IwmdT,LOGIN_PAGE,200,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0034,IQBzUqgnIy0bR4bhxynMCkw3AaJ_NJHSlkUuhj_qU2SqP08,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBzUqgnIy0bR4bhxynMCkw3AaJ_NJHSlkUuhj_qU2SqP08?e=4i43rR,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0035,IQCA8FNqsA3VTp7Yao-2ynkhAYhIPcQVureMkRFms6j_LjU,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCA8FNqsA3VTp7Yao-2ynkhAYhIPcQVureMkRFms6j_LjU?e=dk2Ibk,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0058,Ed9yefosFCFPh1H_0I0Mb0gBs07imx2AywWkmGDK3ZxkxQ,https://maejo365-my.sharepoint.com/:x:/g/personal/prinya_mju_ac_th/Ed9yefosFCFPh1H_0I0Mb0gBs07imx2AywWkmGDK3ZxkxQ?e=XJIRFa,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0062,EQ1j2DbbdF9IkToyjdQL_QUBL6Lp80U6wlInRdYFcxeTEw,https://maejo365-my.sharepoint.com/:x:/g/personal/prinya_mju_ac_th/EQ1j2DbbdF9IkToyjdQL_QUBL6Lp80U6wlInRdYFcxeTEw?e=ueSGPL,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0063,IQCiFsghTHAXRqyFPKs1YR6ZAZTZfQjbkxyThTalLJySJ7E,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCiFsghTHAXRqyFPKs1YR6ZAZTZfQjbkxyThTalLJySJ7E?e=CDMDQq,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0066,IQBzhX99A4zIQ7ZDwSij2bB1AaxPEp9t1VVfc21ReIdREtY,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBzhX99A4zIQ7ZDwSij2bB1AaxPEp9t1VVfc21ReIdREtY?e=EuEbaf,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0048,IQAbwr0kbFPGS5MAHjLoOXUbAU_VUdP_4MwMj4M125xys4Q,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAbwr0kbFPGS5MAHjLoOXUbAU_VUdP_4MwMj4M125xys4Q?e=nZETeR,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0069,IQDpbzu0scr6TbnDPvpKVyU0AXSuqCuApafOqFnNTI5gKHQ,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDpbzu0scr6TbnDPvpKVyU0AXSuqCuApafOqFnNTI5gKHQ?e=rIWUcO,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0010,IQCjAOcIrTVoSY8zdgqQJSB5AR884SGk-5-WlTVPEsoDk-s,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCjAOcIrTVoSY8zdgqQJSB5AR884SGk-5-WlTVPEsoDk-s?e=6alT85,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0012,IQBsovJYQs-MS6lF6gShrm0FAfHS1cjp5qpudNy638RvhDw,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBsovJYQs-MS6lF6gShrm0FAfHS1cjp5qpudNy638RvhDw?e=SDrfZb,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0018,IQCFTwbSPA_xTquyVcbjBp9bAaEOOnOmbiXR96CMTdgRZnk,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCFTwbSPA_xTquyVcbjBp9bAaEOOnOmbiXR96CMTdgRZnk?e=8QRb1e,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
