source_table,record_id,title,discovered_url,normalized_path,local_or_external,resolution_status
j6_content,37,1.5 ข้อมูลก๊าซเรือนกระจก,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBIROYaTmqSSqXAkTMn_cM0AWYIFrc6CV7fSWq4X0fQYeU?e=Mt967o,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBIROYaTmqSSqXAkTMn_cM0AWYIFrc6CV7fSWq4X0fQYeU,cloud_sharepoint_onedrive,external_sharepoint
j6_content,37,1.5 ข้อมูลก๊าซเรือนกระจก,https://maejo365-my.sharepoint.com/:x:/g/personal/prinya_mju_ac_th/IQAYqO7zIhToQoY0jg0XMQ2KAVvO-4NpnWizfw0rCoNCJ6g?e=kV5Vzw,https://maejo365-my.sharepoint.com/:x:/g/personal/prinya_mju_ac_th/IQAYqO7zIhToQoY0jg0XMQ2KAVvO-4NpnWizfw0rCoNCJ6g,cloud_sharepoint_onedrive,external_sharepoint
j6_content,37,1.5 ข้อมูลก๊าซเรือนกระจก,https://maejo365-my.sharepoint.com/:x:/g/personal/prinya_mju_ac_th/IQAh-Jq8-GxaR4R-x2BeYZKXAakh7ZBTFxTvJ2lGpPOkKNc?e=HudkSC,https://maejo365-my.sharepoint.com/:x:/g/personal/prinya_mju_ac_th/IQAh-Jq8-GxaR4R-x2BeYZKXAakh7ZBTFxTvJ2lGpPOkKNc,cloud_sharepoint_onedrive,external_sharepoint
j6_content,37,1.5 ข้อมูลก๊าซเรือนกระจก,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAbwr0kbFPGS5MAHjLoOXUbAU_VUdP_4MwMj4M125xys4Q?e=nZETeR,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAbwr0kbFPGS5MAHjLoOXUbAU_VUdP_4MwMj4M125xys4Q,cloud_sharepoint_onedrive,external_sharepoint
j6_content,38,1.6 แผนการดำเนินงานและโครงการเพื่อมุ่งสู่การลดก๊าซเรือนกระจก,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQA4hKaJNbp-T5UNHjqXmM1dAeeArtszlog4yJepvhHYvds?e=Sxm2CC,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQA4hKaJNbp-T5UNHjqXmM1dAeeArtszlog4yJepvhHYvds,cloud_sharepoint_onedrive,external_sharepoint
j6_content,38,1.6 แผนการดำเนินงานและโครงการเพื่อมุ่งสู่การลดก๊าซเรือนกระจก,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQB21QQDfSNeRoXwgsVLxDQ0AdtTJXKPk0cQ0jzH4PO6rSM?e=skyZo9,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQB21QQDfSNeRoXwgsVLxDQ0AdtTJXKPk0cQ0jzH4PO6rSM,cloud_sharepoint_onedrive,external_sharepoint
j6_content,38,1.6 แผนการดำเนินงานและโครงการเพื่อมุ่งสู่การลดก๊าซเรือนกระจก,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQA_phQbCv3cT5ETq7o2n0vuAfOfO5v5YHTR5CcV0frbMT4?e=eBiedt,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQA_phQbCv3cT5ETq7o2n0vuAfOfO5v5YHTR5CcV0frbMT4,cloud_sharepoint_onedrive,external_sharepoint
j6_content,39,1.7 การทบทวนฝ่ายบริหาร,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCjAOcIrTVoSY8zdgqQJSB5AR884SGk-5-WlTVPEsoDk-s?e=6alT85,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCjAOcIrTVoSY8zdgqQJSB5AR884SGk-5-WlTVPEsoDk-s,cloud_sharepoint_onedrive,external_sharepoint
j6_content,39,1.7 การทบทวนฝ่ายบริหาร,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCjAOcIrTVoSY8zdgqQJSB5AR884SGk-5-WlTVPEsoDk-s?e=LVtOyV,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCjAOcIrTVoSY8zdgqQJSB5AR884SGk-5-WlTVPEsoDk-s,cloud_sharepoint_onedrive,external_sharepoint
j6_content,39,1.7 การทบทวนฝ่ายบริหาร,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBsovJYQs-MS6lF6gShrm0FAfHS1cjp5qpudNy638RvhDw?e=SDrfZb,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBsovJYQs-MS6lF6gShrm0FAfHS1cjp5qpudNy638RvhDw,cloud_sharepoint_onedrive,external_sharepoint
j6_content,39,1.7 การทบทวนฝ่ายบริหาร,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBsovJYQs-MS6lF6gShrm0FAfHS1cjp5qpudNy638RvhDw?e=XcddDm,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBsovJYQs-MS6lF6gShrm0FAfHS1cjp5qpudNy638RvhDw,cloud_sharepoint_onedrive,external_sharepoint
j6_content,41,2.1 การอบรมให้ความรู้และประเมินความเข้าใจ,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQD097NPn2l0RqrRGP-1D6xAAclVYVd-MYrEQfIjjsankGI?e=mvh8Y8,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQD097NPn2l0RqrRGP-1D6xAAclVYVd-MYrEQfIjjsankGI,cloud_sharepoint_onedrive,external_sharepoint
